identifier	altId	text	transType	isPunc	isPrimary
01001014016	لِآيَاتٍ-1	لِآيَاتٍ		False	True
01001014017	وَأَوْقَاتٍ-1	وَأَوْقَاتٍ		False	True
01001014018	وَأَيَّامٍ-1	وَأَيَّامٍ		False	True
01001014019	وَسِنِينٍ-1	وَسِنِينٍ		False	True
01001015001	وَتَكُونَ-1	وَتَكُونَ		False	True
01001015002	أَنْوَارًا-1	أَنْوَارًا		False	True
01001015003	فِي-1	فِي		False	True
01001015004	جَلَدِ-1	جَلَدِ		False	True
01001015005	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001015006	لِتُنِيرَ-1	لِتُنِيرَ		False	True
01001015007	عَلَى-1	عَلَى		False	True
01001015008	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001015011	وَكَانَ-1	وَكَانَ		False	True
01001015012	كَذَلِكَ-1	كَذَلِكَ		False	True
01001016001	فَعَمِلَ-1	فَعَمِلَ		False	True
01001016002	ٱللهُ-1	ٱللهُ		False	True
01001016003	ٱلنُّورَيْنِ-1	ٱلنُّورَيْنِ		False	True
01001016004	ٱلْعَظِيمَيْنِ-1	ٱلْعَظِيمَيْنِ		False	True
01001016006	ٱلنُّورَ-1	ٱلنُّورَ		False	True
01001016007	ٱلْأَكْبَرَ-1	ٱلْأَكْبَرَ		False	True
01001016008	لِحُكْمِ-1	لِحُكْمِ		False	True
01001016009	ٱلنَّهَارِ-1	ٱلنَّهَارِ		False	True
01001016011	وَٱلنُّورَ-1	وَٱلنُّورَ		False	True
01001016012	ٱلْأَصْغَرَ-1	ٱلْأَصْغَرَ		False	True
01001016013	لِحُكْمِ-2	لِحُكْمِ		False	True
01001016014	ٱللَّيْلِ-1	ٱللَّيْلِ		False	True
01001016016	وَٱلنُّجُومَ-1	وَٱلنُّجُومَ		False	True
01001017001	وَجَعَلَهَا-1	وَجَعَلَهَا		False	True
01001017002	ٱللهُ-1	ٱللهُ		False	True
01001017003	فِي-1	فِي		False	True
01001017004	جَلَدِ-1	جَلَدِ		False	True
01001017005	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001017006	لِتُنِيرَ-1	لِتُنِيرَ		False	True
01001017007	عَلَى-1	عَلَى		False	True
01001017008	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001018001	وَلِتَحْكُمَ-1	وَلِتَحْكُمَ		False	True
01001018002	عَلَى-1	عَلَى		False	True
01001018003	ٱلنَّهَارِ-1	ٱلنَّهَارِ		False	True
01001018004	وَٱللَّيْلِ-1	وَٱللَّيْلِ		False	True
01001018006	وَلِتَفْصِلَ-1	وَلِتَفْصِلَ		False	True
01001018007	بَيْنَ-1	بَيْنَ		False	True
01001018008	ٱلنُّورِ-1	ٱلنُّورِ		False	True
01001018009	وَٱلظُّلْمَةِ-1	وَٱلظُّلْمَةِ		False	True
01001018011	وَرَأَى-1	وَرَأَى		False	True
01001018012	ٱللهُ-1	ٱللهُ		False	True
01001018013	ذَلِكَ-1	ذَلِكَ		False	True
01001018014	أَنَّهُ-1	أَنَّهُ		False	True
01001018015	حَسَنٌ-1	حَسَنٌ		False	True
01001019001	وَكَانَ-1	وَكَانَ		False	True
01001019002	مَسَاءٌ-1	مَسَاءٌ		False	True
01001019003	وَكَانَ-2	وَكَانَ		False	True
01001019004	صَبَاحٌ-1	صَبَاحٌ		False	True
01001019005	يَوْمًا-1	يَوْمًا		False	True
01001019006	رَابِعًا-1	رَابِعًا		False	True
01001020001	وَقَالَ-1	وَقَالَ		False	True
01001020002	ٱللهُ-1	ٱللهُ		False	True
01001020005	لِتَفِضِ-1	لِتَفِضِ		False	True
01001020006	ٱلْمِيَاهُ-1	ٱلْمِيَاهُ		False	True
01001020007	زَحَّافَاتٍ-1	زَحَّافَاتٍ		False	True
01001020008	ذَاتَ-1	ذَاتَ		False	True
01001020009	نَفْسٍ-1	نَفْسٍ		False	True
01001020010	حَيَّةٍ-1	حَيَّةٍ		False	True
01001020012	وَلْيَطِرْ-1	وَلْيَطِرْ		False	True
01001020013	طَيْرٌ-1	طَيْرٌ		False	True
01001020014	فَوْقَ-1	فَوْقَ		False	True
01001020015	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001020016	عَلَى-1	عَلَى		False	True
01001020017	وَجْهِ-1	وَجْهِ		False	True
01001020018	جَلَدِ-1	جَلَدِ		False	True
01001020019	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001021001	فَخَلَقَ-1	فَخَلَقَ		False	True
01001021002	ٱللهُ-1	ٱللهُ		False	True
01001021003	ٱلتَّنَانِينَ-1	ٱلتَّنَانِينَ		False	True
01001021004	ٱلْعِظَامَ-1	ٱلْعِظَامَ		False	True
01001021006	وَكُلَّ-1	وَكُلَّ		False	True
01001021007	ذَوَاتِ-1	ذَوَاتِ		False	True
01001021008	ٱلْأَنْفُسِ-1	ٱلْأَنْفُسِ		False	True
01001021009	ٱلْحيَّةِ-1	ٱلْحيَّةِ		False	True
01001021010	ٱلدَّبَّابَةِ-1	ٱلدَّبَّابَةِ		False	True
01001021011	ٱلْتِى-1	ٱلْتِى		False	True
01001021012	فَاضَتْ-1	فَاضَتْ		False	True
01001021013	بِهَا-1	بِهَا		False	True
01001021014	ٱلْمِيَاهُ-1	ٱلْمِيَاهُ		False	True
01001021015	كَأَجْنَاسِهَا-1	كَأَجْنَاسِهَا		False	True
01001021017	وَكُلَّ-2	وَكُلَّ		False	True
01001021018	طَائِرٍ-1	طَائِرٍ		False	True
01001021019	ذِي-1	ذِي		False	True
01001021020	جَنَاحٍ-1	جَنَاحٍ		False	True
01001021021	كَجِنْسِهِ-1	كَجِنْسِهِ		False	True
01001021023	وَرَأَى-1	وَرَأَى		False	True
01001021024	ٱللهُ-2	ٱللهُ		False	True
01001021025	ذَلِكَ-1	ذَلِكَ		False	True
01001021026	أَنَّهُ-1	أَنَّهُ		False	True
01001021027	حَسَنٌ-1	حَسَنٌ		False	True
01001022001	وَبَارَكَهَا-1	وَبَارَكَهَا		False	True
01001022002	ٱللهُ-1	ٱللهُ		False	True
01001022003	قَائِلًا-1	قَائِلًا		False	True
01001022006	أَثْمِرِي-1	أَثْمِرِي		False	True
01001022007	وَٱكْثُرِي-1	وَٱكْثُرِي		False	True
01001022008	وَٱمْلَإِي-1	وَٱمْلَإِي		False	True
01001022009	ٱلْمِيَاهَ-1	ٱلْمِيَاهَ		False	True
01001022010	فِي-1	فِي		False	True
01001022011	ٱلْبِحَارِ-1	ٱلْبِحَارِ		False	True
01001022013	وَلْيَكْثُرِ-1	وَلْيَكْثُرِ		False	True
01001022014	ٱلطَّيْرُ-1	ٱلطَّيْرُ		False	True
01001022015	عَلَى-1	عَلَى		False	True
01001022016	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001023001	وَكَانَ-1	وَكَانَ		False	True
01001023002	مَسَاءٌ-1	مَسَاءٌ		False	True
01001023003	وَكَانَ-2	وَكَانَ		False	True
01001023004	صَبَاحٌ-1	صَبَاحٌ		False	True
01001023005	يَوْمًا-1	يَوْمًا		False	True
01001023006	خَامِسًا-1	خَامِسًا		False	True
01001024001	وَقَالَ-1	وَقَالَ		False	True
01001024002	ٱللهُ-1	ٱللهُ		False	True
01001024005	لِتُخْرِجِ-1	لِتُخْرِجِ		False	True
01001024006	ٱلْأَرْضُ-1	ٱلْأَرْضُ		False	True
01001024007	ذَوَاتِ-1	ذَوَاتِ		False	True
01001024008	أَنْفُسٍ-1	أَنْفُسٍ		False	True
01001024009	حَيَّةٍ-1	حَيَّةٍ		False	True
01001024010	كَجِنْسِهَا-1	كَجِنْسِهَا		False	True
01001024012	بَهَائِمَ-1	بَهَائِمَ		False	True
01001024014	وَدَبَّابَاتٍ-1	وَدَبَّابَاتٍ		False	True
01001024016	وَوُحُوشَ-1	وَوُحُوشَ		False	True
01001024017	أَرْضٍ-1	أَرْضٍ		False	True
01001024018	كَأَجْنَاسِهَا-1	كَأَجْنَاسِهَا		False	True
01001024021	وَكَانَ-1	وَكَانَ		False	True
01001024022	كَذَلِكَ-1	كَذَلِكَ		False	True
01001025001	فَعَمِلَ-1	فَعَمِلَ		False	True
01001025002	ٱللهُ-1	ٱللهُ		False	True
01001025003	وُحُوشَ-1	وُحُوشَ		False	True
01001025004	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001025005	كَأَجْنَاسِهَا-1	كَأَجْنَاسِهَا		False	True
01001025007	وَٱلْبَهَائِمَ-1	وَٱلْبَهَائِمَ		False	True
01001025008	كَأَجْنَاسِهَا-2	كَأَجْنَاسِهَا		False	True
01001025010	وَجَمِيعَ-1	وَجَمِيعَ		False	True
01001025011	دَبَّابَاتِ-1	دَبَّابَاتِ		False	True
01001025012	ٱلْأَرْضِ-2	ٱلْأَرْضِ		False	True
01001025013	كَأَجْنَاسِهَا-3	كَأَجْنَاسِهَا		False	True
01001025015	وَرَأَى-1	وَرَأَى		False	True
01001025016	ٱللهُ-2	ٱللهُ		False	True
01001025017	ذَلِكَ-1	ذَلِكَ		False	True
01001025018	أَنَّهُ-1	أَنَّهُ		False	True
01001025019	حَسَنٌ-1	حَسَنٌ		False	True
01001026001	وَقَالَ-1	وَقَالَ		False	True
01001026002	ٱللهُ-1	ٱللهُ		False	True
01001026005	نَعْمَلُ-1	نَعْمَلُ		False	True
01001026006	ٱلْإِنْسَانَ-1	ٱلْإِنْسَانَ		False	True
01001026007	عَلَى-1	عَلَى		False	True
01001026008	صُورَتِنَا-1	صُورَتِنَا		False	True
01001026009	كَشَبَهِنَا-1	كَشَبَهِنَا		False	True
01001026011	فَيَتَسَلَّطُونَ-1	فَيَتَسَلَّطُونَ		False	True
01001026012	عَلَى-2	عَلَى		False	True
01001026013	سَمَكِ-1	سَمَكِ		False	True
01001026014	ٱلْبَحْرِ-1	ٱلْبَحْرِ		False	True
01001026015	وَعَلَى-1	وَعَلَى		False	True
01001026016	طَيْرِ-1	طَيْرِ		False	True
01001026017	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001026018	وَعَلَى-2	وَعَلَى		False	True
01001026019	ٱلْبَهَائِمِ-1	ٱلْبَهَائِمِ		False	True
01001026021	وَعَلَى-3	وَعَلَى		False	True
01001026022	كُلِّ-1	كُلِّ		False	True
01001026023	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001026025	وَعَلَى-4	وَعَلَى		False	True
01001026026	جَمِيعِ-1	جَمِيعِ		False	True
01001026027	ٱلدَّبَّابَاتِ-1	ٱلدَّبَّابَاتِ		False	True
01001026028	ٱلَّتِي-1	ٱلَّتِي		False	True
01001026029	تَدِبُّ-1	تَدِبُّ		False	True
01001026030	عَلَى-3	عَلَى		False	True
01001026031	ٱلْأَرْضِ-2	ٱلْأَرْضِ		False	True
01001027001	فَخَلَقَ-1	فَخَلَقَ		False	True
01001027002	ٱللهُ-1	ٱللهُ		False	True
01001027003	ٱلْإِنْسَانَ-1	ٱلْإِنْسَانَ		False	True
01001027004	عَلَى-1	عَلَى		False	True
01001027005	صُورَتِهِ-1	صُورَتِهِ		False	True
01001027007	عَلَى-2	عَلَى		False	True
01001027008	صُورَةِ-1	صُورَةِ		False	True
01001027009	ٱللهِ-1	ٱللهِ		False	True
01001027010	خَلَقَهُ-1	خَلَقَهُ		False	True
01001027012	ذَكَرًا-1	ذَكَرًا		False	True
01001027013	وَأُنْثَى-1	وَأُنْثَى		False	True
01001027014	خَلَقَهُمْ-1	خَلَقَهُمْ		False	True
01001028001	وَبَارَكَهُمُ-1	وَبَارَكَهُمُ		False	True
01001028002	ٱللهُ-1	ٱللهُ		False	True
01001028003	وَقَالَ-1	وَقَالَ		False	True
01001028004	لَهُمْ-1	لَهُمْ		False	True
01001028007	أَثْمِرُوا-1	أَثْمِرُوا		False	True
01001028008	وَٱكْثُرُوا-1	وَٱكْثُرُوا		False	True
01001028009	وَٱمْلَأُوا-1	وَٱمْلَأُوا		False	True
01001028010	ٱلْأَرْضَ-1	ٱلْأَرْضَ		False	True
01001028012	وَأَخْضِعُوهَا-1	وَأَخْضِعُوهَا		False	True
01001028014	وَتَسَلَّطُوا-1	وَتَسَلَّطُوا		False	True
01001028015	عَلَى-1	عَلَى		False	True
01001028016	سَمَكِ-1	سَمَكِ		False	True
01001028017	ٱلْبَحْرِ-1	ٱلْبَحْرِ		False	True
01001028018	وَعَلَى-1	وَعَلَى		False	True
01001028019	طَيْرِ-1	طَيْرِ		False	True
01001028020	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001028021	وَعَلَى-2	وَعَلَى		False	True
01001028022	كُلِّ-1	كُلِّ		False	True
01001028023	حَيَوَانٍ-1	حَيَوَانٍ		False	True
01001028024	يَدِبُّ-1	يَدِبُّ		False	True
01001028025	عَلَى-2	عَلَى		False	True
01001028026	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001029001	وَقَالَ-1	وَقَالَ		False	True
01001029002	ٱللهُ-1	ٱللهُ		False	True
01001029005	إِنِّي-1	إِنِّي		False	True
01001029006	قَدْ-1	قَدْ		False	True
01001029007	أَعْطَيْتُكُمْ-1	أَعْطَيْتُكُمْ		False	True
01001029008	كُلَّ-1	كُلَّ		False	True
01001029009	بَقْلٍ-1	بَقْلٍ		False	True
01001029010	يُبْزِرُ-1	يُبْزِرُ		False	True
01001029011	بِزْرًا-1	بِزْرًا		False	True
01001029012	عَلَى-1	عَلَى		False	True
01001029013	وَجْهِ-1	وَجْهِ		False	True
01001029014	كُلِّ-1	كُلِّ		False	True
01001029015	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001029017	وَكُلَّ-1	وَكُلَّ		False	True
01001029018	شَجَرٍ-1	شَجَرٍ		False	True
01001029019	فِيهِ-1	فِيهِ		False	True
01001029020	ثَمَرُ-1	ثَمَرُ		False	True
01001029021	شَجَرٍ-2	شَجَرٍ		False	True
01001029022	يُبْزِرُ-2	يُبْزِرُ		False	True
01001029023	بِزْرًا-2	بِزْرًا		False	True
01001029024	لَكُمْ-1	لَكُمْ		False	True
01001029025	يَكُونُ-1	يَكُونُ		False	True
01001029026	طَعَامًا-1	طَعَامًا		False	True
01001030001	وَلِكُلِّ-1	وَلِكُلِّ		False	True
01001030002	حَيَوَانِ-1	حَيَوَانِ		False	True
01001030003	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001030004	وَكُلِّ-1	وَكُلِّ		False	True
01001030005	طَيْرِ-1	طَيْرِ		False	True
01001030006	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001030007	وَكُلِّ-2	وَكُلِّ		False	True
01001030008	دَبَّابَةٍ-1	دَبَّابَةٍ		False	True
01001030009	عَلَى-1	عَلَى		False	True
01001030010	ٱلْأَرْضِ-2	ٱلْأَرْضِ		False	True
01001030011	فِيهَا-1	فِيهَا		False	True
01001030012	نَفْسٌ-1	نَفْسٌ		False	True
01001030013	حَيَّةٌ-1	حَيَّةٌ		False	True
01001030015	أَعْطَيْتُ-1	أَعْطَيْتُ		False	True
01001030016	كُلَّ-1	كُلَّ		False	True
01001030017	عُشْبٍ-1	عُشْبٍ		False	True
01001030018	أَخْضَرَ-1	أَخْضَرَ		False	True
01001030019	طَعَامًا-1	طَعَامًا		False	True
01001030022	وَكَانَ-1	وَكَانَ		False	True
01001030023	كَذَلِكَ-1	كَذَلِكَ		False	True
01001031001	وَرَأَى-1	وَرَأَى		False	True
01001031002	ٱللهُ-1	ٱللهُ		False	True
01001031003	كُلَّ-1	كُلَّ		False	True
01001031004	مَا-1	مَا		False	True
01001031005	عَمِلَهُ-1	عَمِلَهُ		False	True
01001031006	فَإِذَا-1	فَإِذَا		False	True
01001031007	هُوَ-1	هُوَ		False	True
01001031008	حَسَنٌ-1	حَسَنٌ		False	True
01001031009	جِدًّا-1	جِدًّا		False	True
01001031011	وَكَانَ-1	وَكَانَ		False	True
01001031012	مَسَاءٌ-1	مَسَاءٌ		False	True
01001031013	وَكَانَ-2	وَكَانَ		False	True
01001031014	صَبَاحٌ-1	صَبَاحٌ		False	True
01001031015	يَوْمًا-1	يَوْمًا		False	True
01001031016	سَادِسًا-1	سَادِسًا		False	True
01002001001	فَأُكْمِلَتِ-1	فَأُكْمِلَتِ		False	True
01002001002	ٱلسَّمَاوَاتُ-1	ٱلسَّمَاوَاتُ		False	True
01002001003	وَٱلْأَرْضُ-1	وَٱلْأَرْضُ		False	True
01002001004	وَكُلُّ-1	وَكُلُّ		False	True
01002001005	جُنْدِهَا-1	جُنْدِهَا		False	True
01002002001	وَفَرَغَ-1	وَفَرَغَ		False	True
01002002002	ٱللهُ-1	ٱللهُ		False	True
01002002003	فِي-1	فِي		False	True
01002002004	ٱلْيَوْمِ-1	ٱلْيَوْمِ		False	True
01002002005	ٱلسَّابِعِ-1	ٱلسَّابِعِ		False	True
01002002006	مِنْ-1	مِنْ		False	True
01002002007	عَمَلِهِ-1	عَمَلِهِ		False	True
01002002008	ٱلَّذِي-1	ٱلَّذِي		False	True
01002002009	عَمِلَ-1	عَمِلَ		False	True
01002002011	فَٱسْتَرَاحَ-1	فَٱسْتَرَاحَ		False	True
01002002012	فِي-2	فِي		False	True
01002002013	ٱلْيَوْمِ-2	ٱلْيَوْمِ		False	True
01002002014	ٱلسَّابِعِ-2	ٱلسَّابِعِ		False	True
01002002015	مِنْ-2	مِنْ		False	True
01002002016	جَمِيعِ-1	جَمِيعِ		False	True
01002002017	عَمَلِهِ-2	عَمَلِهِ		False	True
